,batch_accuracy,batch_loss,epoch_accuracy,epoch_loss,learning_rate,run,units_0,units_1,units_2,units_3,units_4,units_5,units_6,units_7,units_8,units_9
0,0.7863534092903137,0.6481043696403503,0.7863534092903137,0.6481043696403503,0.003,20201227_133351,256.0,512.0,512.0,768.0,512.0,,,,,
1,0.7861856818199158,0.6458326578140259,0.7861856818199158,0.6458326578140259,0.003,20201227_133351,256.0,512.0,640.0,768.0,512.0,,,,,
2,0.7826759219169617,0.6604034304618835,0.7826759219169617,0.6604034304618835,0.002,20201226_213548,256.0,512.0,576.0,768.0,512.0,,,,,
3,0.7813228368759155,0.6645054221153259,0.7813228368759155,0.6645054221153259,0.002,20201227_133351,256.0,512.0,512.0,768.0,512.0,,,,,
4,0.7808219790458679,0.6665316224098206,0.7808219790458679,0.6665316224098206,0.0025,20201227_133351,256.0,512.0,640.0,768.0,512.0,,,,,
5,0.7804295420646667,0.6660175919532776,0.7804295420646667,0.6660175919532776,0.002,20201226_213548,256.0,512.0,512.0,768.0,576.0,,,,,
6,0.7792736291885376,0.6698271036148071,0.7792736291885376,0.6698271036148071,0.002,20201226_213548,256.0,512.0,448.0,768.0,512.0,,,,,
7,0.777583658695221,0.6749839186668396,0.777583658695221,0.6749839186668396,0.002,20201227_133351,256.0,512.0,576.0,768.0,512.0,,,,,
8,0.7768543362617493,0.6772434115409851,0.7768543362617493,0.6772434115409851,0.0025,20201227_133351,256.0,512.0,448.0,768.0,512.0,,,,,
9,0.7767118215560913,0.6750285029411316,0.7767118215560913,0.6750285029411316,0.0025,20201227_133351,256.0,512.0,512.0,768.0,512.0,,,,,
10,0.7765763401985168,0.6817867755889893,0.7765763401985168,0.6817867755889893,0.0015,20201227_133351,256.0,512.0,512.0,768.0,512.0,,,,,
11,0.7760754823684692,0.6792116165161133,0.7760754823684692,0.6792116165161133,0.002,20201227_133351,256.0,512.0,640.0,768.0,512.0,,,,,
12,0.7759582400321959,0.6818356513977051,0.7759582400321959,0.6818356513977051,0.003,20201227_133351,256.0,512.0,576.0,768.0,512.0,,,,,
13,0.7755568623542786,0.6836481690406799,0.7755568623542786,0.6836481690406799,0.0015,20201226_213548,256.0,512.0,576.0,768.0,512.0,,,,,
14,0.7754923701286316,0.685196578502655,0.7754923701286316,0.685196578502655,0.0015,20201227_133351,256.0,512.0,576.0,768.0,512.0,,,,,
15,0.7733483314514159,0.6860767602920532,0.7733483314514159,0.6860767602920532,0.0025,20201227_133351,256.0,512.0,384.0,768.0,512.0,,,,,
16,0.7731974124908447,0.6904927492141724,0.7731974124908447,0.6904927492141724,0.002,20201226_213548,256.0,512.0,448.0,768.0,448.0,,,,,
