,batch_accuracy,batch_loss,epoch_accuracy,epoch_loss,learning_rate,run,units_0,units_1,units_2,units_3,units_4,units_5,units_6,units_7,units_8,units_9
41,0.7448609471321106,0.7871794700622559,0.7448609471321106,0.7871794700622559,0.0005,20201226_105326,768.0,768.0,512.0,256.0,256.0,768.0,256.0,512.0,,
42,0.7433186173439026,0.7898566126823425,0.7433186173439026,0.7898566126823425,0.0009,20201226_105326,256.0,256.0,512.0,768.0,512.0,512.0,256.0,512.0,,
43,0.7357907891273499,0.8175532817840576,0.7357907891273499,0.8175532817840576,0.0005,20201226_105326,768.0,512.0,256.0,512.0,768.0,512.0,768.0,768.0,,
44,0.7282600998878479,0.8492748737335205,0.7282600998878479,0.8492748737335205,0.0001,20201224_200911,768.0,1280.0,1024.0,768.0,2048.0,1280.0,,,,
45,0.72698974609375,0.858209490776062,0.72698974609375,0.858209490776062,0.0003,20201224_200911,256.0,1024.0,,,,,,,,
46,0.7234397530555725,0.8635945916175842,0.7234397530555725,0.8635945916175842,0.0001,20201224_200911,512.0,2048.0,1280.0,768.0,768.0,1024.0,1792.0,,,
47,0.7183979749679565,0.8840764760971069,0.7184227705001831,0.8846570253372192,0.0005,20201224_200911,1536.0,1792.0,512.0,1280.0,256.0,2048.0,1792.0,,,
48,0.7131328582763672,0.9073770046234132,0.7131328582763672,0.9073770046234132,0.0001,20201226_105326,512.0,256.0,512.0,256.0,768.0,512.0,256.0,768.0,,
49,0.7079691290855408,0.9154528975486756,0.7079691290855408,0.9154528975486756,0.0003,20201224_200911,512.0,1024.0,1280.0,1536.0,1024.0,512.0,768.0,,,
50,0.7071328163146973,0.9276083707809448,0.7071328163146973,0.9276083707809448,0.0001,20201224_200911,1024.0,1024.0,512.0,1536.0,1536.0,1792.0,768.0,,,
51,0.7048757076263428,0.9431169629096984,0.7048757076263428,0.9431169629096984,0.0001,20201226_105326,512.0,512.0,256.0,512.0,512.0,768.0,256.0,512.0,,
52,0.7003908157348633,0.9443401098251344,0.7003908157348633,0.9443401098251344,0.0001,20201224_200911,512.0,1280.0,2048.0,2048.0,1792.0,1536.0,768.0,,,
53,0.6965824961662292,0.9702645540237428,0.6965824961662292,0.9702645540237428,0.0001,20201226_105326,512.0,256.0,768.0,512.0,768.0,768.0,256.0,512.0,,
54,0.6935983896255493,0.9727810025215148,0.6935983896255493,0.9727810025215148,0.0001,20201224_200911,768.0,2048.0,1024.0,256.0,768.0,1792.0,1792.0,,,
55,0.6931694746017456,0.9644792079925536,0.6931694746017456,0.9644792079925536,0.01,20201224_004424,1024.0,,,,,,,,,
56,0.6924592852592468,0.9745662212371826,0.6924592852592468,0.9745662212371826,0.0003,20201224_200911,768.0,1792.0,1024.0,1792.0,1792.0,512.0,768.0,,,
57,0.6920742988586426,0.9759771227836608,0.6920742988586426,0.9759771227836608,0.05,20201224_004424,1024.0,,,,,,,,,
58,0.6600537896156311,1.18149995803833,0.6600537896156311,1.18149995803833,0.05,20201224_004424,1792.0,,,,,,,,,
59,0.6547671556472778,1.1111392974853516,0.6547671556472778,1.1111392974853516,0.01,20201224_004424,1792.0,,,,,,,,,
60,0.6400347352027893,1.1713160276412964,0.6400347352027893,1.1713160276412964,0.0005,20201224_004424,1536.0,,,,,,,,,
61,0.6342318654060364,1.1990703344345093,0.6342318654060364,1.1990703344345093,0.0005,20201224_004424,768.0,,,,,,,,,
62,0.5735917091369629,1.3713933229446411,0.5735917091369629,1.3713933229446411,0.0001,20201224_004424,1792.0,,,,,,,,,
63,0.5558504462242126,1.4245084524154663,0.5558504462242126,1.4245084524154663,0.0001,20201224_004424,768.0,,,,,,,,,
64,0.5372536182403564,4.874016761779785,0.5372536182403564,4.874016761779785,0.05,20201224_004424,1280.0,,,,,,,,,
65,0.4380378723144531,53.902626037597656,0.4380378723144531,53.902626037597656,0.05,20201224_004424,1536.0,,,,,,,,,
